User Type,Domain,Field,Usage,Timeline,Recproj
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,3 - 6 months old,CV
Working Professional,Image Processing,Medical,Personal,Anytime,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,Latest,NLP
Working Professional,Prediction,Agriculture,Personal,3 - 6 months old,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,3 - 6 months old,IMP
Working Professional,Computer Vision,Security,Personal,Latest,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,3 - 6 months old,CV
Student,Computer Vision,Medical,Personal,Latest,PRE
Working Professional,Image Processing,Finance,Personal,Anytime,IMP
Student,Data Projects,Security,Personal,3 - 6 months old,NLP
Working Professional,Prediction,Agriculture,Personal,Latest,DATA
Student,NLP,Education,Personal,Anytime,CV
Working Professional,Image Processing,Medical,Personal,Latest,PRE
Student,Data Projects,Finance,Personal,Latest,IMP
Working Professional,Computer Vision,Security,Personal,3 - 6 months old,NLP
Student,Prediction,Agriculture,Personal,Anytime,DATA
Working Professional,NLP,Education,Personal,Latest,CV
Student,Computer Vision,Medical,Personal,3 - 6 months old,PRE
